id ,Date,Close/Last,Volume,Open,High,Low
8,12/9/20,$18.31 ,14672000,$19.23 ,$19.58 ,$17.83 
8,12/8/20,$18.92 ,14646820,$18.70 ,$19.38 ,$18.58 
8,12/7/20,$18.44 ,15432180,$18.66 ,$19.38 ,$18.30 
8,12/4/20,$18.88 ,12582230,$19.17 ,$19.20 ,$18.23 
8,12/3/20,$18.98 ,21101610,$18.60 ,$19.05 ,$17.66 
8,12/2/20,$18.32 ,31588620,$17.47 ,$19.30 ,$17.42 
8,12/1/20,$17.37 ,71739680,$18.32 ,$19.15 ,$16.67 
8,11/30/20,$20.41 ,93255400,$22.11 ,$23 ,$20.16 
8,11/27/20,$27.93 ,21018990,$29.57 ,$31.45 ,$27.11 
8,11/25/20,$30.24 ,38491730,$29.01 ,$31.95 ,$28.50 
8,11/24/20,$34.50 ,62283830,$32.49 ,$37.95 ,$30.59 
8,11/23/20,$29.41 ,23547460,$26.85 ,$29.49 ,$26.68 
8,11/20/20,$26.38 ,18324660,$26.60 ,$26.70 ,$25.03 
8,11/19/20,$26.23 ,40498280,$26.94 ,$27.73 ,$24.87 
8,11/18/20,$25.42 ,54649380,$22.18 ,$26.72 ,$21.85 
8,11/17/20,$22.03 ,10354840,$22.57 ,$22.80 ,$21.31 
8,11/16/20,$21.90 ,12676480,$22 ,$22.95 ,$21.02 
8,11/13/20,$21.18 ,17187290,$19.85 ,$21.87 ,$19.32 
8,11/12/20,$19.57 ,9427277,$19.93 ,$20.40 ,$19.11 
8,11/11/20,$20.18 ,20552010,$18.24 ,$21.19 ,$18.02 
8,11/10/20,$18.03 ,13357030,$18.88 ,$18.94 ,$17.59 
8,11/9/20,$18.63 ,13140860,$20.20 ,$20.70 ,$18.57 
8,11/6/20,$19.58 ,8674440,$19.96 ,$19.97 ,$18.61 
8,11/5/20,$19.95 ,13312220,$19.30 ,$20.49 ,$19.02 
8,11/4/20,$18.46 ,7947267,$18.91 ,$19.28 ,$18.36 
8,11/3/20,$18.84 ,6368182,$18.90 ,$19.20 ,$18.73 
8,11/2/20,$18.58 ,5942007,$18.70 ,$19.13 ,$18.35 
8,10/30/20,$18.31 ,10207240,$19.63 ,$19.87 ,$17.86 
8,10/29/20,$19.79 ,5449158,$19.92 ,$20.25 ,$19.22 
8,10/28/20,$19.67 ,10060350,$20.91 ,$20.94 ,$19.33 
8,10/27/20,$21.39 ,5702253,$21 ,$22.10 ,$20.87 
8,10/26/20,$20.91 ,8149815,$22.15 ,$22.57 ,$20.71 
8,10/23/20,$22.54 ,6934779,$23 ,$23.05 ,$21.95 
8,10/22/20,$22.72 ,10576390,$22.36 ,$22.86 ,$21.70 
8,10/21/20,$22.24 ,31003660,$22.44 ,$23.35 ,$21.10 
8,10/20/20,$20.72 ,10122360,$20.60 ,$21 ,$19.88 
8,10/19/20,$20.46 ,25244820,$20.14 ,$21.79 ,$20.08 
8,10/16/20,$19.55 ,38065540,$22.97 ,$23.18 ,$19.50 
8,10/15/20,$23.30 ,8774535,$23.41 ,$23.50 ,$22.72 
8,10/14/20,$24.11 ,8592442,$24.37 ,$24.69 ,$23.74 
8,10/13/20,$24.23 ,13004560,$23.72 ,$25.18 ,$23.70 
8,10/12/20,$24.15 ,11730590,$24.73 ,$24.79 ,$23.70 
8,10/9/20,$24.66 ,14688200,$25.01 ,$25.22 ,$24.01 
8,10/8/20,$25 ,24624390,$26.19 ,$27.30 ,$24.22 
8,10/7/20,$25.72 ,22669260,$23.71 ,$25.72 ,$23.70 
8,10/6/20,$23.57 ,22679910,$24.30 ,$24.57 ,$23.08 
8,10/5/20,$23.78 ,37919700,$24.52 ,$25.50 ,$22.77 
8,10/2/20,$24.25 ,64632300,$22.30 ,$26.30 ,$22.09 
8,10/1/20,$24.11 ,138537700,$21.97 ,$27 ,$21.78 
8,9/30/20,$20.48 ,93089650,$18.26 ,$21.67 ,$17.93 
8,9/29/20,$17.88 ,31553930,$18.69 ,$18.79 ,$17.51 
8,9/28/20,$19.30 ,23996850,$19.66 ,$20.15 ,$17.88 
8,9/25/20,$19.46 ,24713840,$19.52 ,$20.98 ,$18.82 
8,9/24/20,$19.10 ,51692420,$18.10 ,$20.69 ,$16.15 
8,9/23/20,$21.15 ,48003450,$28.16 ,$28.84 ,$20.61 
8,9/22/20,$28.51 ,30361120,$27.04 ,$29.48 ,$26.67 
8,9/21/20,$27.58 ,86856170,$24.97 ,$29.60 ,$24.05 
8,9/18/20,$34.19 ,21528990,$34.08 ,$34.28 ,$32.77 
8,9/17/20,$33.83 ,24552430,$32.55 ,$34.86 ,$32.50 
8,9/16/20,$33.28 ,46761660,$30.39 ,$34.92 ,$30.25 
8,9/15/20,$32.83 ,52984910,$33 ,$34.66 ,$32.06 
8,9/14/20,$35.79 ,112232500,$30.51 ,$36.90 ,$28.75 
8,9/11/20,$32.13 ,99981450,$35.50 ,$35.69 ,$30.78 
8,9/10/20,$37.57 ,66305940,$38.85 ,$41 ,$36.75 
8,9/9/20,$42.37 ,51515170,$49.93 ,$50.15 ,$42.31 
8,9/8/20,$50.05 ,134889600,$46 ,$54.56 ,$42.44 
8,9/4/20,$35.55 ,8560929,$36.72 ,$37.36 ,$32.80 
8,9/3/20,$36.13 ,10455260,$39 ,$39.33 ,$35.55 
8,9/2/20,$39.42 ,8694899,$40.54 ,$41.57 ,$38.21 
8,9/1/20,$41 ,8149310,$40.32 ,$41.47 ,$39.12 
8,8/31/20,$40.81 ,11367190,$41.10 ,$43.28 ,$40.30 
8,8/28/20,$41.35 ,13570680,$39 ,$41.93 ,$38.61 
8,8/27/20,$39.31 ,8296380,$38.50 ,$39.85 ,$37.22 
8,8/26/20,$38.82 ,6854046,$39.96 ,$40.17 ,$38.05 
8,8/25/20,$39.18 ,5499961,$38.78 ,$39.97 ,$38.11 
8,8/24/20,$38.69 ,10244600,$40.53 ,$40.54 ,$37 
8,8/21/20,$39.37 ,8919982,$40.75 ,$41.13 ,$39.03 
8,8/20/20,$40.94 ,7662260,$41.70 ,$42.41 ,$40.20 
8,8/19/20,$42.53 ,10041280,$41.72 ,$44.60 ,$41.26 
8,8/18/20,$41.76 ,9301087,$43.85 ,$43.88 ,$41.05 
8,8/17/20,$43.57 ,13680570,$46.20 ,$46.65 ,$41.83 
8,8/14/20,$45.96 ,12493850,$46.87 ,$46.95 ,$44.36 
8,8/13/20,$45.97 ,23804260,$43.55 ,$47.45 ,$43.31 
8,8/12/20,$42.81 ,10806710,$42 ,$43.64 ,$41.41 
8,8/11/20,$41.10 ,21432790,$43.50 ,$44.25 ,$40.60 
8,8/10/20,$44.81 ,59030190,$41.60 ,$45.72 ,$40.25 
8,8/7/20,$36.72 ,11551950,$36.25 ,$37.67 ,$35.58 
8,8/6/20,$36.30 ,19752580,$34.99 ,$38.01 ,$34.99 
8,8/5/20,$35.03 ,32444360,$32.79 ,$36.24 ,$32.15 
8,8/4/20,$38.84 ,56995990,$38.75 ,$39.81 ,$35.60 
8,8/3/20,$36.49 ,25986990,$31.74 ,$36.68 ,$30.87 
8,7/31/20,$30 ,10949240,$29.68 ,$30.95 ,$29.22 
8,7/30/20,$29.06 ,14799830,$30.20 ,$30.50 ,$29 
8,7/29/20,$31.23 ,12372110,$32.32 ,$32.80 ,$30.28 
8,7/28/20,$32.75 ,11000040,$33.99 ,$34.10 ,$31.71 
8,7/27/20,$33.20 ,29951730,$31.60 ,$35 ,$31.11 
8,7/24/20,$29.92 ,30117060,$32.23 ,$32.38 ,$29.23 
8,7/23/20,$33.94 ,19077600,$37.12 ,$37.20 ,$33.81 
8,7/22/20,$36.57 ,19120350,$39.65 ,$39.70 ,$36.16 
8,7/21/20,$39.75 ,17382400,$40.34 ,$41.56 ,$39.12 
8,7/20/20,$38.45 ,38611430,$39.20 ,$41 ,$38 
8,7/17/20,$48.84 ,24207430,$52.50 ,$53.10 ,$48.31 
8,7/16/20,$52.53 ,10827600,$53.97 ,$54.37 ,$51.89 
8,7/15/20,$54.58 ,11676870,$51.95 ,$55.60 ,$51.95 
8,7/14/20,$53.14 ,10027700,$51.85 ,$53.55 ,$51 
8,7/13/20,$53.95 ,13204230,$56.77 ,$57 ,$53 
8,7/10/20,$54.24 ,17330370,$54.92 ,$55.75 ,$52.12 
8,7/9/20,$56.75 ,37639190,$59.42 ,$59.85 ,$54 
8,7/8/20,$54.03 ,51752580,$46.58 ,$55.43 ,$45.03 
8,7/7/20,$40.23 ,26705750,$46.89 ,$47.39 ,$40.10 
8,7/6/20,$48.92 ,24095760,$58.90 ,$59.03 ,$47.97 
8,7/2/20,$57.19 ,22635190,$64.27 ,$65.20 ,$55 
8,7/1/20,$65.90 ,9665399,$67.18 ,$68.91 ,$64.87 
8,6/30/20,$67.53 ,13665590,$67.12 ,$70.83 ,$64.53 
8,6/29/20,$67.57 ,14891730,$68.22 ,$71.92 ,$65.55 
