id,stock_id,date,close,open,high,low
678,3,2020-10-19,3207.21,3299.61,3329,3192.74
679,3,2020-10-16,3272.71,3363.23,3399.66,3160
680,3,2020-10-15,3338.65,3292.01,3355.88,3280
681,3,2020-10-14,3363.71,3447,3464.88,3340
682,3,2020-10-13,3443.63,3467.99,3492.38,3424.22
683,3,2020-10-12,3442.93,3349.94,3496.24,3339.55
684,3,2020-10-09,3286.65,3210,3288.99,3197.83
685,3,2020-10-08,3190.55,3224.99,3233.29,3174.99
686,3,2020-10-07,3195.69,3135,3200,3132.39
687,3,2020-10-06,3099.96,3165,3182,3090
688,3,2020-10-05,3199.2,3145.84,3202.53,3140.85
689,3,2020-10-02,3125,3153.63,3195.8,3123
690,3,2020-10-01,3221.26,3208,3224,3172
691,3,2020-09-30,3148.73,3141.14,3212.88,3133.99
692,3,2020-09-29,3144.88,3175.39,3188.26,3132.54
693,3,2020-09-28,3174.05,3148.85,3175.04,3117.17
694,3,2020-09-25,3095.13,3054.86,3101.54,2999
695,3,2020-09-24,3019.79,2977.79,3069.3,2965
696,3,2020-09-23,2999.86,3120.43,3127,2992.38
697,3,2020-09-22,3128.99,3033.84,3133.99,3000.2
698,3,2020-09-21,2960.47,2906.5,2962,2871
699,3,2020-09-18,2954.91,3031.74,3037.8,2905.54
700,3,2020-09-17,3008.73,3009.25,3029.43,2972.55
701,3,2020-09-16,3078.1,3179.99,3187.24,3074.15
702,3,2020-09-15,3156.13,3136.16,3175.02,3108.92
703,3,2020-09-14,3102.97,3172.94,3187.39,3096
704,3,2020-09-11,3116.22,3208.69,3217.34,3083.98
705,3,2020-09-10,3175.11,3307.22,3349.89,3170.55
706,3,2020-09-09,3268.61,3202.99,3303.18,3185
707,3,2020-09-08,3149.84,3144,3250.85,3130
708,3,2020-09-04,3294.62,3318,3381.5,3111.13
709,3,2020-09-03,3368,3485,3488.41,3303
710,3,2020-09-02,3531.45,3547,3552.25,3486.69
711,3,2020-09-01,3499.12,3489.58,3513.87,3467
712,3,2020-08-31,3450.96,3408.99,3495,3405
713,3,2020-08-28,3401.8,3423,3433.37,3386.5
714,3,2020-08-27,3400,3450.05,3453,3378
715,3,2020-08-26,3441.85,3351.11,3451.74,3344.57
716,3,2020-08-25,3346.49,3294.99,3357.4,3267
717,3,2020-08-24,3307.46,3310.15,3380.32,3257.56
718,3,2020-08-21,3284.72,3295,3314.4,3275.39
719,3,2020-08-20,3297.37,3252,3312.62,3238
720,3,2020-08-19,3260.48,3303.01,3315.9,3256
721,3,2020-08-18,3312.49,3212,3320,3205.82
722,3,2020-08-17,3182.41,3173.12,3194.97,3154.18
723,3,2020-08-14,3148.02,3178.18,3178.24,3120
724,3,2020-08-13,3161.02,3182.99,3217.52,3155
725,3,2020-08-12,3162.24,3108,3174.39,3101.42
726,3,2020-08-11,3080.67,3113.2,3159.22,3073
727,3,2020-08-10,3148.16,3170.31,3172.51,3101.52
728,3,2020-08-07,3167.46,3224.01,3240.81,3140.67
729,3,2020-08-06,3225,3194.36,3247.47,3165.43
730,3,2020-08-05,3205.03,3143.77,3213.59,3127.3
731,3,2020-08-04,3138.83,3101.21,3167.24,3101.21
732,3,2020-08-03,3111.89,3180.51,3184,3104
733,3,2020-07-31,3164.68,3244,3246.82,3151
734,3,2020-07-30,3051.88,3014,3092,3005
735,3,2020-07-29,3033.53,3030.99,3039.16,2996.77
736,3,2020-07-28,3000.33,3054.27,3077.09,2995.76
737,3,2020-07-27,3055.21,3062,3098,3015.77
738,3,2020-07-24,3008.91,2930,3031.58,2888
739,3,2020-07-23,2986.55,3098.27,3098.27,2970
740,3,2020-07-22,3099.91,3125,3150,3065.26
741,3,2020-07-21,3138.29,3232.49,3240.58,3105.72
742,3,2020-07-20,3196.84,3000.2,3201.36,2994.02
743,3,2020-07-17,2961.97,3009,3024,2948.45
744,3,2020-07-16,2999.9,2971.06,3032,2918.23
745,3,2020-07-15,3008.87,3080.23,3098.35,2973.18
746,3,2020-07-14,3084,3089,3127.38,2950
747,3,2020-07-13,3104,3251.06,3344.29,3068.39
748,3,2020-07-10,3200,3191.76,3215,3135.7
749,3,2020-07-09,3182.63,3115.99,3193.88,3074
750,3,2020-07-08,3081.11,3022.61,3083.97,3012.43
751,3,2020-07-07,3000.12,3058.55,3069.55,2990
752,3,2020-07-06,3057.04,2934.97,3059.88,2930
753,3,2020-07-02,2890.3,2912.01,2955.56,2871.1
754,3,2020-07-01,2878.7,2757.99,2895,2754
755,3,2020-06-30,2758.82,2685.07,2769.63,2675.03
756,3,2020-06-29,2680.38,2690.01,2696.8,2630.08
757,4,2021-06-28,268.72,266.19,268.9,265.91
758,4,2021-06-25,265.02,266.23,267.25,264.76
759,4,2021-06-24,266.69,266.16,267.85,265.47
760,4,2021-06-23,265.28,265.99,266.83,264.43
761,4,2021-06-22,265.51,262.72,265.79,262.4
762,4,2021-06-21,262.63,259.82,263.52,257.92
763,4,2021-06-18,259.43,259.63,262.3,258.75
764,4,2021-06-17,260.9,256.07,261.75,256.01
765,4,2021-06-16,257.38,259.4,260.58,254.42
766,4,2021-06-15,258.36,259.78,259.99,257.68
767,4,2021-06-14,259.89,257.9,259.95,256.8
768,4,2021-06-11,257.89,257.99,258.49,256.61
769,4,2021-06-10,257.24,254.29,257.46,253.67
770,4,2021-06-09,253.59,253.81,255.53,253.21
771,4,2021-06-08,252.57,255.16,256.01,252.51
772,4,2021-06-07,253.81,249.98,254.09,249.81
773,4,2021-06-04,250.79,247.76,251.65,247.51
774,4,2021-06-03,245.71,245.22,246.34,243
775,4,2021-06-02,247.3,248.13,249.27,245.84
776,4,2021-06-01,247.4,251.23,251.29,246.96
777,4,2021-05-28,249.68,251,252.08,249.56
778,4,2021-05-27,249.31,251.17,251.48,249.25
779,4,2021-05-26,251.49,251.43,252.94,250.75
780,4,2021-05-25,251.72,251.77,252.75,250.82
781,4,2021-05-24,250.78,247.79,251.16,247.51
782,4,2021-05-21,245.17,247.57,248.33,244.74
783,4,2021-05-20,246.48,243.96,247.95,243.86
784,4,2021-05-19,243.12,239.31,243.23,238.6
785,4,2021-05-18,243.08,246.27,246.41,242.9
786,4,2021-05-17,245.18,246.55,246.59,243.52
787,4,2021-05-14,248.15,245.58,249.18,245.49
788,4,2021-05-13,243.03,241.8,245.6,241.42
789,4,2021-05-12,239,242.17,244.38,238.07
790,4,2021-05-11,246.23,244.55,246.6,242.57
791,4,2021-05-10,247.18,250.87,251.73,247.12
792,4,2021-05-07,252.46,252.15,254.3,251.17
793,4,2021-05-06,249.73,246.45,249.86,244.69
794,4,2021-05-05,246.47,249.06,249.5,245.82
795,4,2021-05-04,247.79,250.97,251.21,245.76
796,4,2021-05-03,251.86,253.4,254.35,251.12
797,4,2021-04-30,252.18,249.74,253.08,249.6
798,4,2021-04-29,252.51,255.46,256.1,249
799,4,2021-04-28,254.56,256.08,256.54,252.95
800,4,2021-04-27,261.97,261.59,263.19,260.12
801,4,2021-04-26,261.55,261.66,262.44,260.17
802,4,2021-04-23,261.15,257.88,261.51,257.27
803,4,2021-04-22,257.17,260.21,261.78,255.64
804,4,2021-04-21,260.58,258.94,260.68,257.25
805,4,2021-04-20,258.26,257.82,260.2,256.84
806,4,2021-04-19,258.74,260.19,261.48,257.82
807,4,2021-04-16,260.74,259.47,261,257.6
808,4,2021-04-15,259.5,257.93,259.93,257.73
809,4,2021-04-14,255.59,257.48,258.83,255.16
810,4,2021-04-13,258.49,257.26,259.19,256.83
811,4,2021-04-12,255.91,254.71,257.67,254.62
812,4,2021-04-09,255.85,252.87,255.99,252.44
813,4,2021-04-08,253.25,252.77,254.14,252
814,4,2021-04-07,249.9,247.81,250.93,247.19
815,4,2021-04-06,247.86,247.61,249.4,246.88
816,4,2021-04-05,249.07,242.76,249.96,242.7
817,4,2021-04-01,242.35,238.47,242.84,238.05
818,4,2021-03-31,235.77,232.91,239.1,232.39
819,4,2021-03-30,231.85,233.53,233.85,231.1
820,4,2021-03-29,235.24,236.59,236.8,231.88
821,4,2021-03-26,236.48,231.55,236.71,231.55
822,4,2021-03-25,232.34,235.3,236.94,231.57
823,4,2021-03-24,235.46,237.85,238,235.32
824,4,2021-03-23,237.58,237.49,241.05,237.07
825,4,2021-03-22,235.99,230.27,236.9,230.14
826,4,2021-03-19,230.35,231.02,232.47,229.35
827,4,2021-03-18,230.72,232.56,234.19,230.33
828,4,2021-03-17,237.04,236.15,238.55,233.23
829,4,2021-03-16,237.71,236.28,240.06,235.94
830,4,2021-03-15,234.81,234.96,235.19,231.81
831,4,2021-03-12,235.75,234.01,235.82,233.23
832,4,2021-03-11,237.13,234.96,239.17,234.31
833,4,2021-03-10,232.42,237,237,232.04
834,4,2021-03-09,233.78,232.88,235.38,231.67
835,4,2021-03-08,227.39,231.37,233.37,227.13
836,4,2021-03-05,231.6,229.52,233.27,226.46
837,4,2021-03-04,226.73,226.74,232.49,224.26
838,4,2021-03-03,227.56,232.16,233.58,227.26
839,4,2021-03-02,233.87,237.01,237.3,233.45
840,4,2021-03-01,236.94,235.9,237.47,233.15
841,4,2021-02-26,232.38,231.53,235.37,229.54
842,4,2021-02-25,228.99,232.08,234.59,227.88
843,4,2021-02-24,234.55,230.01,235.2,229
844,4,2021-02-23,233.27,230.33,234.83,228.73
845,4,2021-02-22,234.51,237.42,237.93,232.4
846,4,2021-02-19,240.97,243.75,243.86,240.18
847,4,2021-02-18,243.79,241.8,243.93,240.86
848,4,2021-02-17,244.2,241.32,244.31,240.94
849,4,2021-02-16,243.7,245.03,246.13,242.92
850,4,2021-02-12,244.99,243.93,245.3,242.73
851,4,2021-02-11,244.49,244.78,245.15,242.15
852,4,2021-02-10,242.82,245,245.92,240.89
853,4,2021-02-09,243.77,241.87,244.76,241.38
854,4,2021-02-08,242.47,243.15,243.68,240.81
855,4,2021-02-05,242.2,242.23,243.28,240.42
856,4,2021-02-04,242.01,242.66,243.24,240.37
857,4,2021-02-03,243,239.57,245.09,239.26
858,4,2021-02-02,239.51,241.3,242.31,238.69
859,4,2021-02-01,239.65,235.06,242.5,232.43
860,4,2021-01-29,231.96,235.99,238.02,231.35
861,4,2021-01-28,238.93,235.61,242.64,235.09
862,4,2021-01-27,232.9,238,240.44,230.14
863,4,2021-01-26,232.33,231.86,234.18,230.08
864,4,2021-01-25,229.53,229.12,229.78,224.22
865,4,2021-01-22,225.95,227.08,230.07,225.8
866,4,2021-01-21,224.97,224.7,226.3,222.42
867,4,2021-01-20,224.34,217.7,225.79,217.29
868,4,2021-01-19,216.44,213.75,216.98,212.63
869,4,2021-01-15,212.65,213.52,214.51,212.03
870,4,2021-01-14,213.02,215.91,217.46,212.74
871,4,2021-01-13,216.34,214.02,216.76,213.93
872,4,2021-01-12,214.93,216.5,217.1,213.32
873,4,2021-01-11,217.49,218.47,218.91,216.73
