id,Date,Close,Volume,Open,High,Low
10,5/18/21,$74.44 ,31982480,$74.74 ,$75.77 ,$74.24 
10,5/17/21,$74.65 ,40722380,$74.22 ,$75.52 ,$73.41 
10,5/14/21,$74.59 ,38355790,$74.02 ,$75.03 ,$72.72 
10,5/13/21,$73.09 ,48646750,$75.21 ,$75.70 ,$72.50 
10,5/12/21,$74.64 ,42531420,$75.09 ,$76.13 ,$74.16 
10,5/11/21,$76.83 ,51008240,$73.57 ,$76.93 ,$72.75 
10,5/10/21,$75.99 ,45134490,$78.20 ,$78.30 ,$75.92 
10,5/7/21,$78.81 ,36954180,$78.75 ,$79.57 ,$78.22 
10,5/6/21,$77.89 ,38661330,$77.63 ,$78.06 ,$76.47 
10,5/5/21,$77.83 ,42310150,$79.05 ,$79.30 ,$77.36 
10,5/4/21,$78.61 ,59194330,$77.95 ,$78.67 ,$77.04 
10,5/3/21,$78.55 ,66323270,$81.97 ,$82 ,$78.46 
10,4/30/21,$81.62 ,46601860,$82.97 ,$84.10 ,$81.42 
10,4/29/21,$83.91 ,51294530,$84.70 ,$85.27 ,$82.63 
10,4/28/21,$84.02 ,108920300,$88.85 ,$89.20 ,$83.92 
10,4/27/21,$85.21 ,61909870,$85.67 ,$87.15 ,$85.13 
10,4/26/21,$85.41 ,57594540,$83.35 ,$85.90 ,$82.70 
10,4/23/21,$82.76 ,49267280,$80.21 ,$83.30 ,$79.96 
10,4/22/21,$79.06 ,38846050,$81.61 ,$81.79 ,$78.59 
10,4/21/21,$81.61 ,35068960,$78.99 ,$81.66 ,$78.86 
10,4/20/21,$79.27 ,34977750,$80.82 ,$81.11 ,$78.51 
10,4/19/21,$81.11 ,39115460,$82.13 ,$83.18 ,$80.39 
10,4/16/21,$82.15 ,47280570,$83.30 ,$83.59 ,$81.53 
10,4/15/21,$83.01 ,68942820,$80.32 ,$83.95 ,$79.97 
10,4/14/21,$78.55 ,34263830,$79.88 ,$80.13 ,$77.94 
10,4/13/21,$80.19 ,37767260,$79.67 ,$80.72 ,$78.98 
10,4/12/21,$78.58 ,62098800,$82.06 ,$82.18 ,$78.03 
10,4/9/21,$82.76 ,32759870,$82.80 ,$83.59 ,$82.16 
10,4/8/21,$83.35 ,41925280,$83.32 ,$83.79 ,$82.44 
10,4/7/21,$82.20 ,35590930,$81.32 ,$83.10 ,$80.35 
10,4/6/21,$81.44 ,29327950,$81.21 ,$82.46 ,$80.88 
10,4/5/21,$81.43 ,32610550,$81.74 ,$81.90 ,$80.39 
10,4/1/21,$81.09 ,40182380,$80.16 ,$81.31 ,$79.48 
10,3/31/21,$78.50 ,43659460,$76.57 ,$79.13 ,$76.52 
10,3/30/21,$76 ,39169250,$76.47 ,$76.56 ,$74.85 
10,3/29/21,$77.14 ,37144300,$77.03 ,$78.02 ,$76.26 
10,3/26/21,$77.41 ,49148660,$76.62 ,$77.50 ,$75.03 
10,3/25/21,$76.22 ,44735100,$75.85 ,$76.95 ,$74.96 
